AccountRecord(acctId=1, acctActiveStatus=Y, acctCurrBal=1940, acctCreditLimit=20200, acctCashCreditLimit=10200, acctOpenDate=2014-11-20, acctExpiraionDate=2025-05-20, acctReissueDate=2025-05-20, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=12, acctActiveStatus=Y, acctCurrBal=1760, acctCreditLimit=46360, acctCashCreditLimit=3880, acctOpenDate=2009-06-17, acctExpiraionDate=2023-07-07, acctReissueDate=2023-07-07, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=13, acctActiveStatus=Y, acctCurrBal=410, acctCreditLimit=75420, acctCashCreditLimit=49220, acctOpenDate=2017-10-01, acctExpiraionDate=2024-08-04, acctReissueDate=2024-08-04, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=14, acctActiveStatus=Y, acctCurrBal=150, acctCreditLimit=22540, acctCashCreditLimit=2120, acctOpenDate=2010-12-04, acctExpiraionDate=2025-12-11, acctReissueDate=2025-12-11, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=15, acctActiveStatus=Y, acctCurrBal=4890, acctCreditLimit=84410, acctCashCreditLimit=38330, acctOpenDate=2009-10-06, acctExpiraionDate=2025-06-09, acctReissueDate=2025-06-09, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=16, acctActiveStatus=Y, acctCurrBal=7330, acctCreditLimit=89220, acctCashCreditLimit=26320, acctOpenDate=2014-09-11, acctExpiraionDate=2024-01-25, acctReissueDate=2024-01-25, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=17, acctActiveStatus=Y, acctCurrBal=330, acctCreditLimit=5680, acctCashCreditLimit=5100, acctOpenDate=2014-05-17, acctExpiraionDate=2025-03-01, acctReissueDate=2025-03-01, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=18, acctActiveStatus=Y, acctCurrBal=1440, acctCreditLimit=29030, acctCashCreditLimit=14960, acctOpenDate=2018-11-15, acctExpiraionDate=2023-09-10, acctReissueDate=2023-09-10, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=19, acctActiveStatus=Y, acctCurrBal=4800, acctCreditLimit=69860, acctCashCreditLimit=37230, acctOpenDate=2011-12-14, acctExpiraionDate=2025-07-23, acctReissueDate=2025-07-23, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=20, acctActiveStatus=Y, acctCurrBal=3690, acctCreditLimit=37670, acctCashCreditLimit=10400, acctOpenDate=2014-02-27, acctExpiraionDate=2024-03-13, acctReissueDate=2024-03-13, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=21, acctActiveStatus=Y, acctCurrBal=1120, acctCreditLimit=12640, acctCashCreditLimit=1800, acctOpenDate=2011-10-19, acctExpiraionDate=2023-01-06, acctReissueDate=2023-01-06, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=22, acctActiveStatus=Y, acctCurrBal=550, acctCreditLimit=85990, acctCashCreditLimit=47120, acctOpenDate=2016-11-21, acctExpiraionDate=2025-12-28, acctReissueDate=2025-12-28, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=23, acctActiveStatus=Y, acctCurrBal=1040, acctCreditLimit=33770, acctCashCreditLimit=29040, acctOpenDate=2012-03-15, acctExpiraionDate=2025-03-18, acctReissueDate=2025-03-18, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=24, acctActiveStatus=Y, acctCurrBal=4000, acctCreditLimit=51740, acctCashCreditLimit=41290, acctOpenDate=2015-08-08, acctExpiraionDate=2025-02-11, acctReissueDate=2025-02-11, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=25, acctActiveStatus=Y, acctCurrBal=610, acctCreditLimit=81940, acctCashCreditLimit=65820, acctOpenDate=2012-10-26, acctExpiraionDate=2025-07-10, acctReissueDate=2025-07-10, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=26, acctActiveStatus=Y, acctCurrBal=460, acctCreditLimit=21810, acctCashCreditLimit=13750, acctOpenDate=2009-04-20, acctExpiraionDate=2024-12-19, acctReissueDate=2024-12-19, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=27, acctActiveStatus=Y, acctCurrBal=2840, acctCreditLimit=55720, acctCashCreditLimit=20750, acctOpenDate=2012-09-30, acctExpiraionDate=2025-07-13, acctReissueDate=2025-07-13, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=28, acctActiveStatus=Y, acctCurrBal=680, acctCreditLimit=8680, acctCashCreditLimit=5470, acctOpenDate=2015-05-20, acctExpiraionDate=2024-05-09, acctReissueDate=2024-05-09, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=29, acctActiveStatus=Y, acctCurrBal=3390, acctCreditLimit=55110, acctCashCreditLimit=43610, acctOpenDate=2015-11-03, acctExpiraionDate=2024-06-04, acctReissueDate=2024-06-04, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=30, acctActiveStatus=Y, acctCurrBal=20, acctCreditLimit=1200, acctCashCreditLimit=930, acctOpenDate=2011-08-26, acctExpiraionDate=2024-06-27, acctReissueDate=2024-06-27, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=31, acctActiveStatus=Y, acctCurrBal=310, acctCreditLimit=11400, acctCashCreditLimit=10770, acctOpenDate=2017-02-25, acctExpiraionDate=2025-06-08, acctReissueDate=2025-06-08, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=32, acctActiveStatus=Y, acctCurrBal=300, acctCreditLimit=11750, acctCashCreditLimit=8460, acctOpenDate=2013-11-10, acctExpiraionDate=2025-05-19, acctReissueDate=2025-05-19, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=33, acctActiveStatus=Y, acctCurrBal=4100, acctCreditLimit=64040, acctCashCreditLimit=9510, acctOpenDate=2012-10-11, acctExpiraionDate=2025-10-07, acctReissueDate=2025-10-07, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=34, acctActiveStatus=Y, acctCurrBal=2530, acctCreditLimit=36420, acctCashCreditLimit=27700, acctOpenDate=2009-05-10, acctExpiraionDate=2025-10-06, acctReissueDate=2025-10-06, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=35, acctActiveStatus=Y, acctCurrBal=1660, acctCreditLimit=19470, acctCashCreditLimit=15250, acctOpenDate=2018-02-02, acctExpiraionDate=2025-09-23, acctReissueDate=2025-09-23, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=36, acctActiveStatus=Y, acctCurrBal=1100, acctCreditLimit=33280, acctCashCreditLimit=8390, acctOpenDate=2018-07-18, acctExpiraionDate=2024-12-23, acctReissueDate=2024-12-23, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=37, acctActiveStatus=Y, acctCurrBal=70, acctCreditLimit=4460, acctCashCreditLimit=1660, acctOpenDate=2016-09-10, acctExpiraionDate=2023-10-24, acctReissueDate=2023-10-24, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=38, acctActiveStatus=Y, acctCurrBal=6120, acctCreditLimit=65050, acctCashCreditLimit=34760, acctOpenDate=2010-08-12, acctExpiraionDate=2023-07-23, acctReissueDate=2023-07-23, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=39, acctActiveStatus=Y, acctCurrBal=8430, acctCreditLimit=97500, acctCashCreditLimit=62120, acctOpenDate=2018-08-26, acctExpiraionDate=2025-09-08, acctReissueDate=2025-09-08, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=40, acctActiveStatus=Y, acctCurrBal=430, acctCreditLimit=58230, acctCashCreditLimit=16740, acctOpenDate=2010-02-13, acctExpiraionDate=2023-10-27, acctReissueDate=2023-10-27, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=41, acctActiveStatus=Y, acctCurrBal=3750, acctCreditLimit=67210, acctCashCreditLimit=34290, acctOpenDate=2015-02-07, acctExpiraionDate=2023-04-24, acctReissueDate=2023-04-24, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=42, acctActiveStatus=Y, acctCurrBal=3020, acctCreditLimit=65630, acctCashCreditLimit=51030, acctOpenDate=2016-09-19, acctExpiraionDate=2025-09-19, acctReissueDate=2025-09-19, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=43, acctActiveStatus=Y, acctCurrBal=6100, acctCreditLimit=61680, acctCashCreditLimit=12060, acctOpenDate=2012-04-09, acctExpiraionDate=2025-08-29, acctReissueDate=2025-08-29, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=44, acctActiveStatus=Y, acctCurrBal=2630, acctCreditLimit=68990, acctCashCreditLimit=44320, acctOpenDate=2018-12-01, acctExpiraionDate=2024-01-17, acctReissueDate=2024-01-17, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=45, acctActiveStatus=Y, acctCurrBal=1860, acctCreditLimit=27190, acctCashCreditLimit=6880, acctOpenDate=2010-12-31, acctExpiraionDate=2025-07-09, acctReissueDate=2025-07-09, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=46, acctActiveStatus=Y, acctCurrBal=3960, acctCreditLimit=70070, acctCashCreditLimit=54380, acctOpenDate=2013-09-06, acctExpiraionDate=2025-06-20, acctReissueDate=2025-06-20, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=47, acctActiveStatus=Y, acctCurrBal=320, acctCreditLimit=23380, acctCashCreditLimit=1590, acctOpenDate=2014-04-03, acctExpiraionDate=2025-08-23, acctReissueDate=2025-08-23, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=48, acctActiveStatus=Y, acctCurrBal=2260, acctCreditLimit=23060, acctCashCreditLimit=6120, acctOpenDate=2017-03-18, acctExpiraionDate=2025-02-06, acctReissueDate=2025-02-06, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=49, acctActiveStatus=Y, acctCurrBal=1000, acctCreditLimit=90480, acctCashCreditLimit=48070, acctOpenDate=2019-04-06, acctExpiraionDate=2023-09-17, acctReissueDate=2023-09-17, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
AccountRecord(acctId=50, acctActiveStatus=Y, acctCurrBal=4920, acctCreditLimit=61690, acctCashCreditLimit=45870, acctOpenDate=2011-04-22, acctExpiraionDate=2023-03-09, acctReissueDate=2023-03-09, acctCurrCycCredit=0, acctCurrCycDebit=0, acctAddrZip=          , acctGroupId=A000000000)
